Run Start Time: 06/22/2019, 23:45:26

model type,kernel type,MAE value,MSE Value
Run Start Time: 06/22/2019, 23:45:29

model type,kernel type,MAE value,MSE Value
RFR,30-mae-2,0.3141997113715806,0.1362241094809022
RFR,30-mae-4,0.31565260618466273,0.1413720310433398
RFR,30-mae-8,0.3289217156333174,0.1531741624238424
RFR,30-mae-16,0.3316901224640094,0.1588866292664432
RFR,30-mae-32,0.3397981658828212,0.15786691545202577
RFR,30-mae-64,0.31689148275404583,0.14398282338043408
RFR,30-mse-None,0.338771470010352,0.15825251677780638
RFR,30-mse-2,0.3167880982113911,0.1336839505693274
RFR,30-mse-4,0.3089389490749903,0.13273477115185145
RFR,30-mse-8,0.3380390041610404,0.155238328076703
RFR,30-mse-16,0.3477810738096334,0.160619753282507
RFR,30-mse-32,0.349496106043417,0.16764428360394304
RFR,30-mse-64,0.34140683881483647,0.15356922523473518
RFR,40-mae-None,0.3360136462217024,0.16278257927601458
RFR,40-mae-2,0.3058056388137535,0.13788264439495868
RFR,40-mae-4,0.3074092445029282,0.13755947089021336
RFR,40-mae-8,0.3349000454874057,0.16626609559959288
RFR,40-mae-16,0.3310055722071951,0.15382955341883026
RFR,40-mae-32,0.318253835969166,0.15201512927286498
RFR,40-mae-64,0.31920054259976766,0.14911086114124125
RFR,40-mse-None,0.34201947158797075,0.15548761072787604
RFR,40-mse-2,0.31318746106143014,0.1304019366838399
RFR,40-mse-4,0.3234882563573787,0.14279928812396886
RFR,40-mse-8,0.32177370518513876,0.15124748635431817
RFR,40-mse-16,0.345978060449513,0.16136240361956625
RFR,40-mse-32,0.3257898062182367,0.14825245169774778
RFR,40-mse-64,0.3349312937105539,0.15638829195353368
RFR,50-mae-None,0.3203392450715208,0.15564976504204558
RFR,50-mae-2,0.309195022378179,0.13563541277471347
RFR,50-mae-4,0.31036933499037445,0.1395665158859941
RFR,50-mae-8,0.328213355427216,0.15145379240617804
RFR,50-mae-16,0.3302129850297699,0.15719665681960582
RFR,50-mae-32,0.3204068523527548,0.15213411052522868
RFR,50-mae-64,0.32739859151497425,0.1536121205058476
RFR,50-mse-None,0.33375527775747077,0.15330253337861321
RFR,50-mse-2,0.31321673474116785,0.133828667761608
RFR,50-mse-4,0.3245298903472808,0.14079656076438096
RFR,50-mse-8,0.3306555556097071,0.15171986921806543
RFR,50-mse-16,0.34407573653044804,0.16145924255312505
RFR,50-mse-32,0.3369403972025245,0.1534344212520103
RFR,50-mse-64,0.349985737532254,0.16530098486785208
RFR,60-mae-None,0.31864152133711304,0.14784472659392361
RFR,60-mae-2,0.3105037838481803,0.13761259172470386
RFR,60-mae-4,0.3144532522141265,0.14169296465221992
RFR,60-mae-8,0.32339663393198,0.15073698115638448
RFR,60-mae-16,0.32779351966924153,0.15639216352069907
RFR,60-mae-32,0.3091808584664786,0.14245295313317005
RFR,60-mae-64,0.3299834891547735,0.15192999769469903
RFR,60-mse-None,0.3318128991993674,0.15319493358153607
RFR,60-mse-2,0.310579096266622,0.1331760087780956
RFR,60-mse-4,0.3200556408858341,0.13623539123699901
RFR,60-mse-8,0.3348208430113332,0.15468487000489933
RFR,60-mse-16,0.3337879961985524,0.15697227356219223
RFR,60-mse-32,0.3376948986416051,0.1517015986616287
RFR,60-mse-64,0.33441494441781977,0.15763813389812528
RFR,70-mae-None,0.3123762736763686,0.14458554321084316
RFR,70-mae-2,0.30384641270305424,0.1335382570891025
RFR,70-mae-4,0.31152330823403257,0.1399640243344988
RFR,70-mae-8,0.3177381944516968,0.14767168854432094
RFR,70-mae-16,0.3249052620341456,0.15082930322663513
RFR,70-mae-32,0.32536195790790423,0.15279750963469618
RFR,70-mae-64,0.32428395512992325,0.150576792193959
RFR,70-mse-None,0.3393861532623868,0.15921273837769298
RFR,70-mse-2,0.3168488597154327,0.13590063390729043
RFR,70-mse-4,0.3221845544533379,0.14100055559002203
RFR,70-mse-8,0.32847031341717664,0.149373267177786
RFR,70-mse-16,0.33273869496787833,0.1492435764622368
RFR,70-mse-32,0.33867131984260423,0.158049403858894
RFR,70-mse-64,0.3347190471935702,0.14864248704125074
RFR,80-mae-None,0.32352555214400003,0.1514678404019177
RFR,80-mae-2,0.30966416892072995,0.13596272982782456
RFR,80-mae-4,0.3211252995264436,0.1428227310132547
RFR,80-mae-8,0.32408945382622173,0.15081675882329515
RFR,80-mae-16,0.3192731843620795,0.15249762937816294
RFR,80-mae-32,0.31374810536832604,0.14738656684726703
RFR,80-mae-64,0.31684441885777875,0.14272262962462043
RFR,80-mse-None,0.3365528256343191,0.15543227912567553
RFR,80-mse-2,0.3174170696586691,0.13499921684561517
RFR,80-mse-4,0.33387590470752265,0.14831163278169304
RFR,80-mse-8,0.3385417325673193,0.15608668006252432
RFR,80-mse-16,0.33159292494848813,0.15472200404466463
RFR,80-mse-32,0.33144035802378874,0.15468006398046677
RFR,80-mse-64,0.33549158482995023,0.15473435813314093
RFR,90-mae-None,0.32786484825347306,0.14897361392875416
RFR,90-mae-2,0.3101710398655595,0.1347979382120151
RFR,90-mae-4,0.3118232146418904,0.1390639729272137
RFR,90-mae-8,0.31282324081519924,0.14378303382861712
